# BEGIN DATA
Process=pp -> aj
Proc=aj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2018-06-26 19:08:43
# END DATA

# BEGIN HISTO1D aj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.600000e+03 1.800000e+03 1.627401e-01 5.952331e-05 5.952331e-05
1.800000e+03 2.000000e+03 1.818004e-01 8.637857e-05 8.637857e-05
2.000000e+03 2.200000e+03 1.985839e-01 2.760263e-05 2.760263e-05
2.200000e+03 2.400000e+03 2.137105e-01 3.388898e-05 3.388898e-05
2.400000e+03 2.600000e+03 2.276050e-01 4.461419e-05 4.461419e-05
2.600000e+03 2.800000e+03 2.405324e-01 5.881324e-05 5.881324e-05
2.800000e+03 3.000000e+03 2.526681e-01 7.737830e-05 7.737830e-05
3.000000e+03 6.500000e+03 2.681492e-01 7.296962e-05 7.296962e-05
# END HISTO1D

# BEGIN HISTO1D aj_pTV_K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.947939e+00 1.349906e-04 1.349906e-04
4.000000e+01 5.000000e+01 1.855220e+00 1.506250e-04 1.506250e-04
5.000000e+01 6.000000e+01 1.793163e+00 1.824549e-04 1.824549e-04
6.000000e+01 7.000000e+01 1.747543e+00 2.131397e-04 2.131397e-04
7.000000e+01 8.000000e+01 1.711865e+00 2.400069e-04 2.400069e-04
8.000000e+01 9.000000e+01 1.684336e+00 2.280037e-04 2.280037e-04
9.000000e+01 1.000000e+02 1.660369e+00 2.362342e-04 2.362342e-04
1.000000e+02 1.100000e+02 1.640664e+00 2.562840e-04 2.562840e-04
1.100000e+02 1.200000e+02 1.623914e+00 2.849922e-04 2.849922e-04
1.200000e+02 1.300000e+02 1.609392e+00 3.028022e-04 3.028022e-04
1.300000e+02 1.400000e+02 1.598547e+00 3.205220e-04 3.205220e-04
1.400000e+02 1.500000e+02 1.587713e+00 3.578151e-04 3.578151e-04
1.500000e+02 2.000000e+02 1.564461e+00 1.419749e-04 1.419749e-04
2.000000e+02 2.500000e+02 1.526564e+00 1.804753e-04 1.804753e-04
2.500000e+02 3.000000e+02 1.502476e+00 2.297449e-04 2.297449e-04
3.000000e+02 3.500000e+02 1.513126e+00 1.573557e-04 1.573557e-04
3.500000e+02 4.000000e+02 1.532804e+00 1.736520e-04 1.736520e-04
4.000000e+02 4.500000e+02 1.545399e+00 1.928688e-04 1.928688e-04
4.500000e+02 5.000000e+02 1.553554e+00 2.195293e-04 2.195293e-04
5.000000e+02 5.500000e+02 1.559935e+00 2.511449e-04 2.511449e-04
5.500000e+02 6.000000e+02 1.564869e+00 2.857368e-04 2.857368e-04
6.000000e+02 6.500000e+02 1.568079e+00 2.264514e-04 2.264514e-04
6.500000e+02 7.000000e+02 1.571476e+00 2.369597e-04 2.369597e-04
7.000000e+02 7.500000e+02 1.574967e+00 2.490219e-04 2.490219e-04
7.500000e+02 8.000000e+02 1.577183e+00 2.711188e-04 2.711188e-04
8.000000e+02 8.500000e+02 1.580236e+00 3.102396e-04 3.102396e-04
8.500000e+02 9.000000e+02 1.582521e+00 3.492346e-04 3.492346e-04
9.000000e+02 9.500000e+02 1.585761e+00 3.445185e-04 3.445185e-04
9.500000e+02 1.000000e+03 1.587990e+00 3.772778e-04 3.772778e-04
1.000000e+03 1.100000e+03 1.591918e+00 1.787768e-04 1.787768e-04
1.100000e+03 1.200000e+03 1.597693e+00 1.848589e-04 1.848589e-04
1.200000e+03 1.300000e+03 1.603734e+00 2.140137e-04 2.140137e-04
1.300000e+03 1.400000e+03 1.610237e+00 2.307158e-04 2.307158e-04
1.400000e+03 1.600000e+03 1.619668e+00 1.801456e-04 1.801456e-04
1.600000e+03 1.800000e+03 1.634219e+00 2.355337e-04 2.355337e-04
1.800000e+03 2.000000e+03 1.650391e+00 3.106443e-04 3.106443e-04
2.000000e+03 2.200000e+03 1.667787e+00 1.379306e-04 1.379306e-04
2.200000e+03 2.400000e+03 1.686741e+00 1.550762e-04 1.550762e-04
2.400000e+03 2.600000e+03 1.706537e+00 1.897956e-04 1.897956e-04
2.600000e+03 2.800000e+03 1.726726e+00 2.362459e-04 2.362459e-04
2.800000e+03 3.000000e+03 1.746824e+00 2.966857e-04 2.966857e-04
3.000000e+03 6.500000e+03 1.777574e+00 2.566219e-04 2.566219e-04
# END HISTO1D

# BEGIN HISTO1D aj_pTV_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 3.935294e+03 3.359037e-01 3.359037e-01
4.000000e+01 5.000000e+01 1.307362e+03 1.296778e-01 1.296778e-01
