# ptlow, pthigh, etalow, etahigh, correction, uncertainty
44.0  46.0  1.4442  1.566   0.996624532352 0.0275983019865
46.0  48.0  1.4442  1.566   0.986224182996 0.0272506622607
48.0  50.0  1.4442  1.566   0.976444949439 0.0335883540294
50.0  55.0  1.4442  1.566   0.990121776021 0.0362863077861
55.0  60.0  1.4442  1.566   1.0099968522   0.0488994637658
60.0  65.0  1.4442  1.566   0.944967554853 0.0357740972785
65.0  70.0  1.4442  1.566   0.925542043775 0.0528053616443
70.0  80.0  1.4442  1.566   1.00222754687  0.0759315485196
80.0  90.0  1.4442  1.566   0.990013874627 0.0713292625887
90.0  100.0 1.4442  1.566   0.941650112037 0.0655283074261
100.0 120.0 1.4442  1.566   0.97674866809  0.0548827018652
120.0 200.0 1.4442  1.566   1.01856102956  0.0698522469836
25.0  28.0  1.566   1.8     0.599212115574 0.0285598708301
28.0  30.0  1.566   1.8     0.812048262367 0.0255671267072
30.0  32.0  1.566   1.8     0.862145769268 0.0274771393738
32.0  34.0  1.566   1.8     0.903350191133 0.0272560464111
34.0  36.0  1.566   1.8     0.906123231309 0.0227647599256
36.0  38.0  1.566   1.8     0.93805787658  0.0235817778309
38.0  40.0  1.566   1.8     0.92602118205  0.0225099457583
40.0  42.0  1.566   1.8     0.943218825949 0.0224183876006
42.0  44.0  1.566   1.8     0.94309786526  0.0219024870393
44.0  46.0  1.566   1.8     0.950825621296 0.0242137892207
46.0  48.0  1.566   1.8     0.958307227992 0.0224082010545
48.0  50.0  1.566   1.8     0.94462466069  0.0227244353422
50.0  55.0  1.566   1.8     0.948700526447 0.0289301899783
55.0  60.0  1.566   1.8     0.957773112272 0.0276696081957
60.0  65.0  1.566   1.8     0.967101413902 0.0301570986062
65.0  70.0  1.566   1.8     0.92096776788  0.0302048179758
70.0  80.0  1.566   1.8     0.948821542393 0.0293276046905
80.0  90.0  1.566   1.8     0.909188113948 0.0282229071831
90.0  100.0 1.566   1.8     0.943316103664 0.0315187420548
100.0 120.0 1.566   1.8     0.947637124406 0.0279800919285
120.0 200.0 1.566   1.8     0.93322118989  0.025128290317
25.0  28.0  1.8     2.0     0.427818342467 0.0304044072022
28.0  30.0  1.8     2.0     0.784887429806 0.0246388260388
30.0  32.0  1.8     2.0     0.864548097408 0.0241301452483
32.0  34.0  1.8     2.0     0.908764120525 0.0270910203239
34.0  36.0  1.8     2.0     0.904027879766 0.0226600272284
36.0  38.0  1.8     2.0     0.92636002032  0.0225109423827
38.0  40.0  1.8     2.0     0.916948365299 0.0219523690584
40.0  42.0  1.8     2.0     0.92836026424  0.0219619765372
42.0  44.0  1.8     2.0     0.938079659214 0.0224777034919
44.0  46.0  1.8     2.0     0.945587387508 0.0250423461636
46.0  48.0  1.8     2.0     0.936045697934 0.0232530827752
48.0  50.0  1.8     2.0     0.922812511557 0.023133996669
50.0  55.0  1.8     2.0     0.945466123225 0.0260132680158
55.0  60.0  1.8     2.0     0.919147079268 0.0244073628851
60.0  65.0  1.8     2.0     0.954094861197 0.0280729679701
65.0  70.0  1.8     2.0     0.945207570043 0.0340132045408
70.0  80.0  1.8     2.0     0.933883782161 0.0296935538138
80.0  90.0  1.8     2.0     0.905388194749 0.0317472921046
90.0  100.0 1.8     2.0     0.943316103664 0.0315187420548
100.0 120.0 1.8     2.0     0.947637124406 0.0279800919285
120.0 200.0 1.8     2.0     0.93322118989  0.025128290317
25.0  28.0  2.0     2.5     0.23403082992  0.0107451616542
28.0  30.0  2.0     2.5     0.677432513932 0.0230971423681
30.0  32.0  2.0     2.5     0.854598218865 0.0227851799853
32.0  34.0  2.0     2.5     0.903677951476 0.0237314286556
34.0  36.0  2.0     2.5     0.939636748351 0.0233593986038
36.0  38.0  2.0     2.5     0.944468205555 0.0234290372115
38.0  40.0  2.0     2.5     0.961440527661 0.0228276750004
40.0  42.0  2.0     2.5     0.963499913137 0.0256881836962
42.0  44.0  2.0     2.5     0.967273658195 0.0253568549438
44.0  46.0  2.0     2.5     0.953887337407 0.0244920849095
46.0  48.0  2.0     2.5     0.956053322392 0.0227318929209
48.0  50.0  2.0     2.5     0.960712358449 0.0241343919027
50.0  55.0  2.0     2.5     0.946164143956 0.0241245304269
55.0  60.0  2.0     2.5     0.935406028347 0.0283646107002
60.0  65.0  2.0     2.5     0.962127752241 0.0288762442054
65.0  70.0  2.0     2.5     0.927900725758 0.0286481853666
70.0  80.0  2.0     2.5     0.9194906909   0.0327706403467
80.0  90.0  2.0     2.5     0.931640465975 0.0348015737192
90.0  100.0 2.0     2.5     0.943316103664 0.0315187420548
100.0 120.0 2.0     2.5     0.947637124406 0.0279800919285
120.0 200.0 2.0     2.5     0.93322118989  0.025128290317
